id	subject	predicate	object	category	agent_type	gene_expr	knowledge_level	knowledge_source	primary_knowledge_source	source
urn:uuid:ed0a36eb-377a-4c0d-a9d7-c07264c36a13	CL:0000236	biolink:has_phenotype	HP:0030377	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:cc95ac0c-4140-4d1d-8908-3629922ca597	CL:0000236	biolink:has_phenotype	HP:0030375	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:7c605011-e255-4ad1-9dc8-1bea92e77826	CL:0000236	biolink:has_phenotype	HP:0030387	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:141695ba-f8ae-4ced-8647-e96cd1ddb57f	CL:0000236	biolink:has_phenotype	HP:0030385	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:9ed6da58-307e-404c-b62f-9eaa14896e92	CL:0000236	biolink:has_phenotype	HP:0030381	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:22682153-8d3f-402f-b418-8676640739de	CL:0000236	biolink:has_phenotype	HP:0032127	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:34832275-6cd3-40bb-a776-06bbb340a563	CL:0000236	biolink:has_phenotype	HP:0032124	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:93907beb-f7df-4151-90b1-92937cce7fde	CL:0000236	biolink:has_phenotype	HP:0032126	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:6a88a5b6-e450-4d23-8241-e25ff340b8f9	CL:0000236	biolink:has_phenotype	HP:0032129	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:a546cae9-c0fb-4aa3-be92-6a0d7ce5162a	CL:0000236	biolink:has_phenotype	HP:0032128	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:7dd547bc-9951-4ef0-8d39-6fdab3a57a56	CL:0000236	biolink:has_phenotype	HP:0032184	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:6ffa5119-35f7-4db5-a3d7-956568c1ea3b	CL:0000236	biolink:located_in	UBERON:0005215	biolink:CellToAnatomicalEntityAssociation	manual_agent		knowledge_assertion	hra-asctb-kidney-edges.csv	https://purl.humanatlas.io/collection/hra	
urn:uuid:3c3166ea-b5fa-44eb-a4b4-1d2195636531	CL:0000236	biolink:located_in	UBERON:0002015	biolink:CellToAnatomicalEntityAssociation	automated_agent		statistical_association	hra-pop-kidney-edges.csv	https://purl.humanatlas.io/graph/hra-pop	
urn:uuid:0ea972e8-b5f9-4058-8cbf-909b6edb4d23	CL:0000236	biolink:located_in	UBERON:0002113	biolink:CellToAnatomicalEntityAssociation	automated_agent		statistical_association	hra-pop-kidney-edges.csv	https://purl.humanatlas.io/graph/hra-pop	
urn:uuid:e755d550-fe99-43f1-adcb-d61a3928a161	CL:0000236	biolink:located_in	UBERON:0001284	biolink:CellToAnatomicalEntityAssociation	automated_agent		statistical_association	hra-pop-kidney-edges.csv	https://purl.humanatlas.io/graph/hra-pop	
